phase	step	command	start_iso	end_iso	duration_s	exit_code	cache_hit	retries	cause
ci-poll	cycle-236	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:00:36Z	2026-08-06T05:00:39Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-237	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:01:39Z	2026-08-06T05:01:41Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-238	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:02:41Z	2026-08-06T05:02:43Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-239	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:03:48Z	2026-08-06T05:03:50Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-240	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:04:50Z	2026-08-06T05:04:53Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-241	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:05:53Z	2026-08-06T05:05:55Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-242	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:06:55Z	2026-08-06T05:06:57Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-243	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:07:57Z	2026-08-06T05:07:59Z	2	0	na	0	watch for env-example fix push
phase2	node-update-5-rebuild	make node-update NODE=tronyx-vps	2026-08-06T04:58:34Z	2026-08-06T05:08:39Z	605	0	na	0	stubs regenerated (B9), stack rebuild with fixed chat-id
ci-poll	cycle-244	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:09:00Z	2026-08-06T05:09:02Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-245	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:10:02Z	2026-08-06T05:10:04Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-246	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:11:04Z	2026-08-06T05:11:06Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-247	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:12:11Z	2026-08-06T05:12:14Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-248	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:13:14Z	2026-08-06T05:13:16Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-249	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:14:16Z	2026-08-06T05:14:19Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-250	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:15:19Z	2026-08-06T05:15:21Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-251	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:16:21Z	2026-08-06T05:16:23Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-252	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:17:23Z	2026-08-06T05:17:25Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-253	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:18:25Z	2026-08-06T05:18:27Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-254	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:19:28Z	2026-08-06T05:19:30Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-255	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:20:34Z	2026-08-06T05:20:36Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-256	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:21:36Z	2026-08-06T05:21:39Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-257	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:22:39Z	2026-08-06T05:22:41Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-258	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:23:41Z	2026-08-06T05:23:43Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-259	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:24:43Z	2026-08-06T05:24:45Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-260	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:25:45Z	2026-08-06T05:25:48Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-261	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:26:48Z	2026-08-06T05:26:50Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-262	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:27:50Z	2026-08-06T05:27:53Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-263	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:29:01Z	2026-08-06T05:29:03Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-264	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:30:03Z	2026-08-06T05:30:06Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-265	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:31:06Z	2026-08-06T05:31:08Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-266	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:32:08Z	2026-08-06T05:32:10Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-267	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:33:10Z	2026-08-06T05:33:13Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-268	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:34:13Z	2026-08-06T05:34:15Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-269	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:35:15Z	2026-08-06T05:35:18Z	3	0	na	0	watch for env-example fix push
ci-poll	cycle-270	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:36:18Z	2026-08-06T05:36:20Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-271	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:37:24Z	2026-08-06T05:37:26Z	2	0	na	0	watch for env-example fix push
phase3	deploy-tronyx-site	make deploy-project NAME=tronyx-site NODE=tronyx-vps	2026-08-06T05:37:41Z	2026-08-06T05:37:41Z	0	2	na	0	first real project deploy, receive verb
phase3	deploy-tronyx-site	make deploy-project PROJECT=~/projects/tronyx-site NODE=tronyx-vps	2026-08-06T05:38:16Z	2026-08-06T05:38:16Z	0	2	na	0	first real project deploy, receive verb, tar via forced-command
ci-poll	cycle-272	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:38:26Z	2026-08-06T05:38:28Z	2	0	na	0	watch for env-example fix push
phase3	deploy-tronyx-site	make deploy-project PROJECT=/Users/tronyx/projects/tronyx-site NODE=tronyx-vps	2026-08-06T05:38:23Z	2026-08-06T05:38:41Z	18	2	na	0	first real project deploy, receive verb
ci-poll	cycle-273	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:39:28Z	2026-08-06T05:39:31Z	3	0	na	0	watch for env-example fix push
phase3	deploy-tronyx-site	make deploy-project PROJECT=/Users/tronyx/projects/tronyx-site NODE=tronyx-vps KEY_FILE=/Users/tronyx/.ssh/platform_personal_cicd	2026-08-06T05:39:18Z	2026-08-06T05:39:33Z	15	0	na	0	receive verb, tar via forced-command, key-file
phase3	deploy-dance-site	make deploy-project PROJECT=/Users/tronyx/projects/dance-site NODE=tronyx-vps KEY_FILE=/Users/tronyx/.ssh/platform_personal_cicd	2026-08-06T05:39:40Z	2026-08-06T05:39:55Z	15	0	na	0	adopted project deploy
phase3	deploy-botanika	make deploy-project PROJECT=/Users/tronyx/projects/botanika NODE=tronyx-vps KEY_FILE=/Users/tronyx/.ssh/platform_personal_cicd	2026-08-06T05:39:55Z	2026-08-06T05:40:10Z	15	0	na	0	adopted project deploy
phase3	deploy-roadmap	make deploy-project PROJECT=/Users/tronyx/projects/roadmap NODE=tronyx-vps KEY_FILE=/Users/tronyx/.ssh/platform_personal_cicd	2026-08-06T05:40:10Z	2026-08-06T05:40:24Z	14	0	na	0	adopted project deploy
ci-poll	cycle-274	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:40:31Z	2026-08-06T05:40:33Z	2	0	na	0	watch for env-example fix push
phase2	make-check-final2	make check	2026-08-06T05:28:25Z	2026-08-06T05:40:49Z	744	2	na	0	B10 root fixed (f-string quotes), killpg, sequential, 900s
ci-poll	cycle-275	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:41:33Z	2026-08-06T05:41:36Z	3	0	na	0	watch for env-example fix push
phase3	converge-after-deploys	make converge NODE=tronyx-vps	2026-08-06T05:41:53Z	2026-08-06T05:41:59Z	6	0	na	0	nginx overlay env reconcile
ci-poll	cycle-276	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:42:36Z	2026-08-06T05:42:38Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-277	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:43:38Z	2026-08-06T05:43:40Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-278	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:44:40Z	2026-08-06T05:44:42Z	2	0	na	0	watch for env-example fix push
ci-poll	cycle-279	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:46:51Z	2026-08-06T05:46:53Z	2	0	na	0	gate b554859f running (static_audit ~11min)
ci-poll	cycle-280	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:47:53Z	2026-08-06T05:47:55Z	2	0	na	0	gate b554859f running (static_audit ~11min)
ci-poll	cycle-281	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:48:55Z	2026-08-06T05:48:58Z	3	0	na	0	gate b554859f running (static_audit ~11min)
ci-poll	cycle-282	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:49:58Z	2026-08-06T05:50:00Z	2	0	na	0	gate b554859f running (static_audit ~11min)
ci-poll	cycle-283	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:51:00Z	2026-08-06T05:51:02Z	2	0	na	0	gate b554859f running (static_audit ~11min)
ci-poll	cycle-284	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:52:02Z	2026-08-06T05:52:05Z	3	0	na	0	gate b554859f running (static_audit ~11min)
ci-poll	cycle-285	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:53:05Z	2026-08-06T05:53:07Z	2	0	na	0	gate b554859f running (static_audit ~11min)
ci-poll	cycle-286	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:54:07Z	2026-08-06T05:54:09Z	2	0	na	0	gate b554859f running (static_audit ~11min)
ci-poll	cycle-287	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:55:23Z	2026-08-06T05:55:25Z	2	0	na	0	watch for env-count fix push
ci-poll	cycle-288	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:56:25Z	2026-08-06T05:56:41Z	16	0	na	0	watch for env-count fix push
ci-poll	cycle-289	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:57:41Z	2026-08-06T05:57:43Z	2	0	na	0	watch for env-count fix push
ci-poll	cycle-290	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:58:43Z	2026-08-06T05:58:46Z	3	0	na	0	watch for env-count fix push
ci-poll	cycle-291	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T05:59:46Z	2026-08-06T05:59:49Z	3	0	na	0	watch for env-count fix push
ci-poll	cycle-292	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:00:49Z	2026-08-06T06:00:51Z	2	0	na	0	watch for env-count fix push
ci-poll	cycle-293	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:01:51Z	2026-08-06T06:01:53Z	2	0	na	0	watch for env-count fix push
ci-poll	cycle-294	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:02:53Z	2026-08-06T06:02:55Z	2	0	na	0	watch for env-count fix push
ci-poll	cycle-295	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:04:00Z	2026-08-06T06:04:02Z	2	0	na	0	watch for env-count fix push
ci-poll	cycle-296	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:05:02Z	2026-08-06T06:05:04Z	2	0	na	0	watch for env-count fix push
ci-poll	cycle-297	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:06:04Z	2026-08-06T06:06:06Z	2	0	na	0	watch for env-count fix push
phase4	e2e-verify-remote	make e2e-verify NODE=tronyx-vps MODE=remote JSON=1	2026-08-06T06:06:41Z	2026-08-06T06:06:42Z	1	2	na	0	HTTP+TLS sweep всех endpoints
ci-poll	cycle-298	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:07:06Z	2026-08-06T06:07:09Z	3	0	na	0	watch for env-count fix push
phase4	e2e-verify-remote	make e2e-verify NODE=tronyx-vps MODE=remote JSON=1	2026-08-06T06:07:17Z	2026-08-06T06:07:19Z	2	2	na	0	HTTP+TLS sweep всех endpoints
phase4	e2e-verify-remote	make e2e-verify NODE=tronyx-vps MODE=remote JSON=1 SSH_USER=root	2026-08-06T06:07:29Z	2026-08-06T06:07:31Z	2	2	na	0	sweep через root (ci-deploy = forced-command only)
phase4	e2e-verify-remote	.venv/bin/python -m core.internal.verify_sweep sweep --node tronyx-vps --mode remote --ssh-user root --json	2026-08-06T06:07:53Z	2026-08-06T06:07:55Z	2	1	na	0	sweep через root
ci-poll	cycle-299	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:08:09Z	2026-08-06T06:08:12Z	3	0	na	0	watch for env-count fix push
grafana-api	full-sweep-live	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_sweep.py	2026-08-06T06:08:18Z	2026-08-06T06:08:21Z	3	0	na	0	grafana стабильно жива — полный sweep
loki	sweep-all-containers	bash /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/loki_sweep.sh	2026-08-06T06:08:30Z	2026-08-06T06:08:34Z	4	0	na	0	loki по всем сервисам
loki	journald-labels-probe	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py loki {host="tronyx-vps"} 6 5	2026-08-06T06:08:46Z	2026-08-06T06:08:47Z	1	0	na	0	поиск journald-лейблов
phase4	e2e-verify-local	.venv/bin/python -m core.internal.verify_sweep sweep --node tronyx-vps --mode local --json	2026-08-06T06:08:54Z	2026-08-06T06:08:58Z	4	1	na	0	sweep endpoints из локальных overlay
ci-poll	cycle-300	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:09:12Z	2026-08-06T06:09:14Z	2	0	na	0	watch for env-count fix push
prometheus	detailed-metrics	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py promql container_memory_usage_bytes{compose_project="platform"}	2026-08-06T06:09:35Z	2026-08-06T06:09:37Z	2	0	na	0	проверка метрик для alert-правил
prometheus	node-fs	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py promql node_filesystem_avail_bytes{mountpoint="/"}	2026-08-06T06:09:37Z	2026-08-06T06:09:37Z	0	0	na	0	метрики диска для DiskSpace
phase4	e2e-verify-local	.venv/bin/python -m core.internal.verify_sweep sweep --node tronyx-vps --mode local --json	2026-08-06T06:09:55Z	2026-08-06T06:09:57Z	2	0	na	0	sweep после -brief фикса
ci-poll	cycle-301	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:10:14Z	2026-08-06T06:10:16Z	2	0	na	0	watch for env-count fix push
ci-poll	cycle-302	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:11:16Z	2026-08-06T06:11:19Z	3	0	na	0	watch for env-count fix push
ci-poll	cycle-303	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:12:44Z	2026-08-06T06:12:46Z	2	0	na	0	two gates running
ci-poll	cycle-304	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:13:46Z	2026-08-06T06:13:49Z	3	0	na	0	two gates running
ci-poll	cycle-305	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:14:49Z	2026-08-06T06:14:51Z	2	0	na	0	two gates running
ci-poll	cycle-306	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:15:51Z	2026-08-06T06:15:54Z	3	0	na	0	two gates running
ci-poll	cycle-307	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:16:54Z	2026-08-06T06:16:56Z	2	0	na	0	two gates running
ci-poll	cycle-308	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:17:56Z	2026-08-06T06:17:59Z	3	0	na	0	two gates running
ci-poll	cycle-309	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:18:59Z	2026-08-06T06:19:01Z	2	0	na	0	two gates running
ci-poll	cycle-310	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:20:01Z	2026-08-06T06:20:03Z	2	0	na	0	two gates running
ci-poll	cycle-311	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:21:18Z	2026-08-06T06:21:20Z	2	0	na	0	gate bd60d96d running
ci-poll	cycle-312	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:22:20Z	2026-08-06T06:22:23Z	3	0	na	0	gate bd60d96d running
ci-poll	cycle-313	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:23:23Z	2026-08-06T06:23:25Z	2	0	na	0	gate bd60d96d running
ci-poll	cycle-314	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:24:25Z	2026-08-06T06:24:28Z	3	0	na	0	gate bd60d96d running
ci-poll	cycle-315	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:25:28Z	2026-08-06T06:25:30Z	2	0	na	0	gate bd60d96d running
ci-poll	cycle-316	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:26:30Z	2026-08-06T06:26:32Z	2	0	na	0	gate bd60d96d running
ci-poll	cycle-317	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:27:32Z	2026-08-06T06:27:35Z	3	0	na	0	gate bd60d96d running
ci-poll	cycle-318	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:28:35Z	2026-08-06T06:28:37Z	2	0	na	0	gate bd60d96d running
ci-poll	cycle-319	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:30:00Z	2026-08-06T06:30:02Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-320	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:31:02Z	2026-08-06T06:31:04Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-321	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:32:04Z	2026-08-06T06:32:07Z	3	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-322	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:33:07Z	2026-08-06T06:33:09Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-323	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:34:09Z	2026-08-06T06:34:11Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-324	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:35:11Z	2026-08-06T06:35:14Z	3	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-325	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:36:14Z	2026-08-06T06:36:16Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-326	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:37:16Z	2026-08-06T06:37:18Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-327	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:38:22Z	2026-08-06T06:38:25Z	3	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-328	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:39:25Z	2026-08-06T06:39:27Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-329	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:40:27Z	2026-08-06T06:40:30Z	3	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-330	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:41:30Z	2026-08-06T06:41:32Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-331	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:42:32Z	2026-08-06T06:42:34Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-332	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:43:34Z	2026-08-06T06:43:37Z	3	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-333	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:44:37Z	2026-08-06T06:44:39Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-334	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:45:39Z	2026-08-06T06:45:41Z	2	0	na	0	watch for next push (bootstrap φ2 done?)
ci-poll	cycle-335	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:47:55Z	2026-08-06T06:47:57Z	2	0	na	0	watch for next push
ci-poll	cycle-336	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:48:57Z	2026-08-06T06:48:59Z	2	0	na	0	watch for next push
ci-poll	cycle-337	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:49:59Z	2026-08-06T06:50:01Z	2	0	na	0	watch for next push
ci-poll	cycle-338	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:51:01Z	2026-08-06T06:51:03Z	2	0	na	0	watch for next push
ci-poll	cycle-339	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:52:03Z	2026-08-06T06:52:05Z	3	0	na	0	watch for next push
ci-poll	cycle-340	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:53:06Z	2026-08-06T06:53:08Z	2	0	na	0	watch for next push
ci-poll	cycle-341	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:54:08Z	2026-08-06T06:54:10Z	2	0	na	0	watch for next push
ci-poll	cycle-342	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:55:10Z	2026-08-06T06:55:13Z	3	0	na	0	watch for next push
ci-poll	cycle-343	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:56:19Z	2026-08-06T06:56:21Z	2	0	na	0	watch for next push
ci-poll	cycle-344	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:57:21Z	2026-08-06T06:57:23Z	2	0	na	0	watch for next push
ci-poll	cycle-345	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:58:23Z	2026-08-06T06:58:26Z	3	0	na	0	watch for next push
ci-poll	cycle-346	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T06:59:26Z	2026-08-06T06:59:28Z	2	0	na	0	watch for next push
ci-poll	cycle-347	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T07:00:28Z	2026-08-06T07:00:31Z	3	0	na	0	watch for next push
ci-poll	cycle-348	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T07:01:31Z	2026-08-06T07:01:33Z	2	0	na	0	watch for next push
ci-poll	cycle-349	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T07:02:33Z	2026-08-06T07:02:35Z	2	0	na	0	watch for next push
ci-poll	cycle-350	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T07:03:35Z	2026-08-06T07:03:38Z	3	0	na	0	watch for next push
ci-poll	cycle-351	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T07:06:31Z	2026-08-06T07:06:33Z	2	0	na	0	watch 1fd117ac gate
ci-poll	cycle-352	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T07:07:33Z	2026-08-06T07:07:35Z	2	0	na	0	watch 1fd117ac gate
ci-poll	cycle-353	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T07:08:36Z	2026-08-06T07:08:38Z	2	0	na	0	watch 1fd117ac gate
ci-poll	cycle-354	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T07:09:38Z	2026-08-06T07:09:40Z	2	0	na	0	watch 1fd117ac gate
ci-poll	cycle-355	python3 .ai/plans/141-server-recovery/evidence/ci_poller.py --limit 40	2026-08-06T07:10:40Z	2026-08-06T07:10:43Z	3	0	na	0	watch 1fd117ac gate
